"sexo","jurisdiccion_residencia","depto_residencia","orden_dosis","cantidad_aplicaciones"
"F","Buenos Aires","25 de Mayo","1",16447
"F","Buenos Aires","25 de Mayo","2",14066
"F","Buenos Aires","25 de Mayo","3",7
"F","Buenos Aires","9 de Julio","1",22194
"F","Buenos Aires","9 de Julio","2",18695
"F","Buenos Aires","Adolfo Alsina","1",7249
"F","Buenos Aires","Adolfo Alsina","2",6202
"F","Buenos Aires","Adolfo Alsina","3",4
"F","Buenos Aires","Adolfo Gonzales Chaves","1",5355
"F","Buenos Aires","Adolfo Gonzales Chaves","2",4620
"F","Buenos Aires","Alberti","1",5017
"F","Buenos Aires","Alberti","2",4422
"F","Buenos Aires","Almirante Brown","1",249619
"F","Buenos Aires","Almirante Brown","2",191765
"F","Buenos Aires","Almirante Brown","3",6
"F","Buenos Aires","Arrecifes","1",13216
"F","Buenos Aires","Arrecifes","2",11251
"F","Buenos Aires","Arrecifes","3",2
"F","Buenos Aires","Avellaneda","1",156213
"F","Buenos Aires","Avellaneda","2",130534
"F","Buenos Aires","Avellaneda","3",12
"F","Buenos Aires","Ayacucho","1",8988
"F","Buenos Aires","Ayacucho","2",7447
"F","Buenos Aires","Ayacucho","3",1
"F","Buenos Aires","Azul","1",30094
"F","Buenos Aires","Azul","2",24961
"F","Buenos Aires","Azul","3",2
"F","Buenos Aires","Bahía Blanca","1",127878
"F","Buenos Aires","Bahía Blanca","2",107301
"F","Buenos Aires","Bahía Blanca","3",11
"F","Buenos Aires","Balcarce","1",18270
"F","Buenos Aires","Balcarce","2",14592
"F","Buenos Aires","Baradero","1",15931
"F","Buenos Aires","Baradero","2",13142
"F","Buenos Aires","Baradero","3",1
"F","Buenos Aires","Benito Juárez","1",8600
"F","Buenos Aires","Benito Juárez","2",7302
"F","Buenos Aires","Berazategui","1",145690
"F","Buenos Aires","Berazategui","2",117806
"F","Buenos Aires","Berazategui","3",4
"F","Buenos Aires","Berisso","1",42851
"F","Buenos Aires","Berisso","2",35681
"F","Buenos Aires","Berisso","3",1
"F","Buenos Aires","Bolívar","1",16467
"F","Buenos Aires","Bolívar","2",14318
"F","Buenos Aires","Bolívar","3",2
"F","Buenos Aires","Bragado","1",19783
"F","Buenos Aires","Bragado","2",17231
"F","Buenos Aires","Brandsen","1",12732
"F","Buenos Aires","Brandsen","2",10306
"F","Buenos Aires","Campana","1",45759
"F","Buenos Aires","Campana","2",37440
"F","Buenos Aires","Campana","3",2
"F","Buenos Aires","Cañuelas","1",24614
"F","Buenos Aires","Cañuelas","2",20233
"F","Buenos Aires","Cañuelas","3",3
"F","Buenos Aires","Capitán Sarmiento","1",7104
"F","Buenos Aires","Capitán Sarmiento","2",6055
"F","Buenos Aires","Carlos Casares","1",10466
"F","Buenos Aires","Carlos Casares","2",8918
"F","Buenos Aires","Carlos Tejedor","1",5390
"F","Buenos Aires","Carlos Tejedor","2",4636
"F","Buenos Aires","Carmen de Areco","1",7165
"F","Buenos Aires","Carmen de Areco","2",6149
"F","Buenos Aires","Castelli","1",3722
"F","Buenos Aires","Castelli","2",3065
"F","Buenos Aires","Chacabuco","1",23230
"F","Buenos Aires","Chacabuco","2",19777
"F","Buenos Aires","Chascomús","1",17503
"F","Buenos Aires","Chascomús","2",15134
"F","Buenos Aires","Chivilcoy","1",31909
"F","Buenos Aires","Chivilcoy","2",27850
"F","Buenos Aires","Chivilcoy","3",3
"F","Buenos Aires","Colón","1",11750
"F","Buenos Aires","Colón","2",10034
"F","Buenos Aires","COMUNA 1","1",14
"F","Buenos Aires","COMUNA 1","2",10
"F","Buenos Aires","COMUNA 13","1",1
"F","Buenos Aires","COMUNA 13","2",1
"F","Buenos Aires","COMUNA 3","1",1
"F","Buenos Aires","COMUNA 3","2",1
"F","Buenos Aires","COMUNA 5","1",1
"F","Buenos Aires","COMUNA 5","2",1
"F","Buenos Aires","Coronel de Marina L. Rosales","1",24553
"F","Buenos Aires","Coronel de Marina L. Rosales","2",20817
"F","Buenos Aires","Coronel de Marina L. Rosales","3",1
"F","Buenos Aires","Coronel Dorrego","1",6787
"F","Buenos Aires","Coronel Dorrego","2",5903
"F","Buenos Aires","Coronel Pringles","1",10113
"F","Buenos Aires","Coronel Pringles","2",8741
"F","Buenos Aires","Coronel Suárez","1",16888
"F","Buenos Aires","Coronel Suárez","2",14564
"F","Buenos Aires","Coronel Suárez","3",2
"F","Buenos Aires","Daireaux","1",7530
"F","Buenos Aires","Daireaux","2",6374
"F","Buenos Aires","Dolores","1",12959
"F","Buenos Aires","Dolores","2",10623
"F","Buenos Aires","Ensenada","1",28450
"F","Buenos Aires","Ensenada","2",23507
"F","Buenos Aires","Ensenada","3",3
"F","Buenos Aires","Escobar","1",95677
"F","Buenos Aires","Escobar","2",74937
"F","Buenos Aires","Escobar","3",3
"F","Buenos Aires","Esteban Echeverría","1",129709
"F","Buenos Aires","Esteban Echeverría","2",98582
"F","Buenos Aires","Esteban Echeverría","3",4
"F","Buenos Aires","Exaltación de la Cruz","1",15695
"F","Buenos Aires","Exaltación de la Cruz","2",12916
"F","Buenos Aires","Exaltación de la Cruz","3",1
"F","Buenos Aires","Ezeiza","1",76368
"F","Buenos Aires","Ezeiza","2",59536
"F","Buenos Aires","Ezeiza","3",2
"F","Buenos Aires","Florencio Varela","1",178815
"F","Buenos Aires","Florencio Varela","2",134345
"F","Buenos Aires","Florencio Varela","3",7
"F","Buenos Aires","Florentino Ameghino","1",4076
"F","Buenos Aires","Florentino Ameghino","2",3412
"F","Buenos Aires","Florentino Ameghino","3",1
"F","Buenos Aires","General Alvarado","1",17046
"F","Buenos Aires","General Alvarado","2",12985
"F","Buenos Aires","General Alvarado","3",5
"F","Buenos Aires","General Alvear","1",4531
"F","Buenos Aires","General Alvear","2",3815
"F","Buenos Aires","General Arenales","1",6901
"F","Buenos Aires","General Arenales","2",5847
"F","Buenos Aires","General Belgrano","1",8348
"F","Buenos Aires","General Belgrano","2",7235
"F","Buenos Aires","General Guido","1",1304
"F","Buenos Aires","General Guido","2",1142
"F","Buenos Aires","General Juan Madariaga","1",9904
"F","Buenos Aires","General Juan Madariaga","2",8177
"F","Buenos Aires","General La Madrid","1",4952
"F","Buenos Aires","General La Madrid","2",4288
"F","Buenos Aires","General Las Heras","1",7196
"F","Buenos Aires","General Las Heras","2",5955
"F","Buenos Aires","General Lavalle","1",2145
"F","Buenos Aires","General Lavalle","2",1742
