"jurisdiccion_residencia","vacuna","orden_dosis","cantidad_aplicaciones"
"Buenos Aires","AstraZeneca","1",3413304
"Buenos Aires","AstraZeneca","2",3711389
"Buenos Aires","AstraZeneca","3",862
"Buenos Aires","Cansino","1",24032
"Buenos Aires","Cansino","2",1
"Buenos Aires","COVISHIELD","1",243773
"Buenos Aires","COVISHIELD","2",387
"Buenos Aires","Moderna","1",318072
"Buenos Aires","Moderna","2",956575
"Buenos Aires","Moderna","3",1
"Buenos Aires","Pfizer","1",758671
"Buenos Aires","Pfizer","2",147207
"Buenos Aires","Sinopharm","1",4544613
"Buenos Aires","Sinopharm","2",3225447
"Buenos Aires","Sinopharm","3",9
"Buenos Aires","Sputnik","1",4048177
"Buenos Aires","Sputnik","2",2312188
"Buenos Aires","Sputnik","3",11
"CABA","AstraZeneca","1",671729
"CABA","AstraZeneca","2",707042
"CABA","AstraZeneca","3",16662
"CABA","Cansino","1",23730
"CABA","COVISHIELD","1",72165
"CABA","COVISHIELD","2",161
"CABA","Moderna","1",22135
"CABA","Moderna","2",274217
"CABA","Moderna","3",15
"CABA","Pfizer","1",142248
"CABA","Pfizer","2",49824
"CABA","Sinopharm","1",856075
"CABA","Sinopharm","2",656572
"CABA","Sinopharm","3",383
"CABA","Sputnik","1",950604
"CABA","Sputnik","2",570872
"CABA","Sputnik","3",9
"Catamarca","AstraZeneca","1",85989
"Catamarca","AstraZeneca","2",80118
"Catamarca","AstraZeneca","3",823
"Catamarca","Cansino","1",1076
"Catamarca","COVISHIELD","1",4677
"Catamarca","COVISHIELD","2",4
"Catamarca","Moderna","1",7187
"Catamarca","Moderna","2",21088
"Catamarca","Moderna","3",1
"Catamarca","Pfizer","1",17553
"Catamarca","Pfizer","2",985
"Catamarca","Sinopharm","1",130072
"Catamarca","Sinopharm","2",93341
"Catamarca","Sinopharm","3",4
"Catamarca","Sputnik","1",95324
"Catamarca","Sputnik","2",62696
"Catamarca","Sputnik","3",13
"Chaco","AstraZeneca","1",224984
"Chaco","AstraZeneca","2",180865
"Chaco","AstraZeneca","3",4781
"Chaco","Cansino","1",1305
"Chaco","COVISHIELD","1",15218
"Chaco","COVISHIELD","2",610
"Chaco","Moderna","1",24943
"Chaco","Moderna","2",50382
"Chaco","Moderna","3",13
"Chaco","Pfizer","1",24825
